Level;Name;Current Level;1D Return (%);1M Return (%);1Y Return (%);3Y Return (%);5Y Return (%);Annual Volatility (%)
-1;German Government Debt Benchmark - Zero Coupon 1M;0,07893183;0,00;175,92;-256,95;-81,97;-96,40;0,77
-1;German Government Debt Benchmark - Zero Coupon 3M;0,09701822;3,76;276,37;-589,70;-79,71;-95,42;0,58
-1;German Government Debt Benchmark - Zero Coupon 12M;0,16391717;5,84;102,40;-778,85;-77,58;-92,38;0,54
-1;German Government Debt Benchmark - Zero Coupon 24M;0,21105278;-0,48;48,58;-549,10;-75,90;-90,70;0,66
-1;German Government Debt Benchmark - Zero Coupon 36M;0,34150166;-0,59;29,66;16 968,08;-70,30;-86,93;0,71
-1;German Government Debt Benchmark - Zero Coupon 48M;0,56045079;-1,43;26,32;282,92;-65,56;-79,69;0,78
-1;German Government Debt Benchmark - Zero Coupon 60M;0,82112119;-1,23;13,38;166,07;-59,27;-69,89;0,82
-1;German Government Debt Benchmark - Zero Coupon 84M;1,30619306;-1,02;10,51;66,52;-49,76;-57,12;0,84
-1;German Government Debt Benchmark - Zero Coupon 108M;1,81195952;-0,93;9,33;51,10;-40,29;-42,70;0,89
-1;German Government Debt Benchmark - Zero Coupon 120M;1,91064405;-0,83;5,31;40,20;-37,58;-40,54;0,88
-1;German Government Debt Benchmark - Zero Coupon 180M;2,51828792;-0,59;3,88;29,13;-28,69;-28,59;0,87
-1;German Government Debt Benchmark - Zero Coupon 240M;2,83325411;-0,68;2,30;25,54;-24,34;-29,46;0,87
-1;German Government Debt Benchmark - Zero Coupon 360M;2,85620767;-0,70;0,64;21,30;-19,64;-19,43;0,86
-1;French Government Benchmark Zero 1M;0,09684468;6,32;64,23;2 221,07;-81,96;-95,74;0,62
-1;French Government Benchmark Zero 3M;0,10686550;-0,62;23,43;-1 249,05;-82,34;-95,10;0,45
-1;French Government Benchmark Zero 6M;0,13943409;5,63;29,76;903,45;-81,56;-93,12;0,47
-1;French Government Benchmark Zero 12M;0,20124164;3,80;5,10;773,90;-75,78;-90,88;0,54
-1;French Government Benchmark Zero 24M;0,30205329;2,00;-2,13;179,94;-72,49;-88,76;0,73
-1;French Government Benchmark Zero 36M;0,51388035;1,80;7,79;100,40;-65,32;-82,40;0,78
-1;French Government Benchmark Zero 48M;0,82037620;0,22;5,54;53,53;-57,14;-73,76;0,81
-1;French Government Benchmark Zero 60M;1,12598675;-0,38;3,05;37,42;-51,55;-65,40;0,82
-1;French Government Benchmark Zero 84M;1,66549232;-0,08;3,15;19,86;-42,55;-50,98;0,80
-1;French Government Benchmark Zero 108M;2,24426934;0,05;1,98;18,89;-33,05;-38,29;0,77
-1;French Government Benchmark Zero 120M;2,51750202;0,10;0,97;19,73;-27,47;-32,11;0,77
-1;French Government Benchmark Zero 180M;3,10851404;-0,27;0,39;14,08;-20,98;-20,45;0,77
-1;French Government Benchmark Zero 240M;3,39834871;-0,30;-1,02;8,66;-17,01;-16,48;0,78
-1;French Government Benchmark Zero 300M;3,52954200;-0,37;-1,17;7,16;-13,33;-8,44;0,79
-1;French Government Benchmark Zero 360M;3,61710066;-0,42;-1,26;6,25;-10,85;-2,11;0,80
-1;UK Government Debt Benchmark - Zero Coupon 1M;0,26600000;-19,64;-20,60;-41,54;-53,98;-85,62;0,25
-1;UK Government Debt Benchmark - Zero Coupon 3M;0,37600000;-2,34;0,80;-16,26;-35,17;-76,47;0,18
-1;UK Government Debt Benchmark - Zero Coupon 12M;0,45100000;1,35;14,76;51,34;-33,87;-65,12;0,63
-1;UK Government Debt Benchmark - Zero Coupon 24M;0,51418266;1,78;13,72;77,31;-50,18;-80,18;0,63
-1;UK Government Debt Benchmark - Zero Coupon 36M;0,82181900;2,39;4,17;152,00;-46,10;-73,05;0,70
-1;UK Government Debt Benchmark - Zero Coupon 48M;1,31833471;0,77;7,39;167,75;-32,79;-57,82;0,77
-1;UK Government Debt Benchmark - Zero Coupon 60M;1,67977030;0,16;7,30;114,72;-21,40;-50,78;0,83
-1;UK Government Debt Benchmark - Zero Coupon 84M;2,28653862;-0,45;8,92;102,98;-24,42;-33,86;0,90
-1;UK Government Debt Benchmark - Zero Coupon 108M;2,86130505;-0,20;6,58;86,61;-15,09;-17,91;0,94
-1;UK Government Debt Benchmark - Zero Coupon 120M;3,04564415;-0,43;6,40;66,75;-15,96;-18,17;0,94
-1;UK Government Debt Benchmark - Zero Coupon 180M;3,45640027;-0,89;5,75;43,04;-20,51;-24,13;0,92
-1;UK Government Debt Benchmark - Zero Coupon 240M;3,66612054;-1,02;4,28;26,43;-22,43;-20,03;0,88
-1;UK Government Debt Benchmark - Zero Coupon 360M;3,88635130;-1,55;0,56;11,28;-17,41;-1,51;0,84
-1;UK Government Debt Benchmark - Zero Coupon 480M;3,74228786;-1,04;0,68;1,27;-18,25;-6,50;0,84
-1;UK Government Debt Benchmark - Zero Coupon 600M;3,62356907;-0,63;1,47;2,04;-18,36;-1,63;0,82
-1;Italian Government Benchmark Zero 1M;0,32114414;9,09;22,82;31,43;-69,90;-85,35;1,63
-1;Italian Government Benchmark Zero 3M;0,55173903;5,67;43,67;12,35;-58,26;-73,94;2,04
-1;Italian Government Benchmark Zero 6M;0,67358944;2,52;25,85;-32,56;-62,35;-68,55;1,79
-1;Italian Government Benchmark Zero 12M;0,88502044;-0,73;10,63;-40,23;-55,78;-58,85;1,77
-1;Italian Government Benchmark Zero 24M;1,35171318;-2,13;-5,56;-35,41;-44,60;-59,99;1,95
-1;Italian Government Benchmark Zero 36M;1,95716147;-1,66;-4,88;-24,06;-32,86;-50,65;1,96
-1;Italian Government Benchmark Zero 48M;2,48009038;-1,46;-4,19;-20,67;-25,35;-40,51;1,90
-1;Italian Government Benchmark Zero 60M;2,81820212;-1,70;-4,21;-20,48;-22,43;-32,92;1,75
-1;Italian Government Benchmark Zero 84M;3,44657388;-1,80;-1,25;-14,01;-16,35;-21,61;1,53
-1;Italian Government Benchmark Zero 108M;4,21145262;-1,37;-0,34;-7,29;-6,80;-9,25;1,39
-1;Italian Government Benchmark Zero 120M;4,36994803;-1,28;-0,15;-10,06;-6,17;-5,69;1,30
-1;Italian Government Benchmark Zero 180M;4,82121144;-0,52;-0,70;-17,58;-7,30;-5,30;1,16
-1;Italian Government Benchmark Zero 240M;5,21696690;-0,32;0,39;-6,99;-4,53;2,40;1,07
-1;Italian Government Benchmark Zero 360M;5,27304240;-0,46;-0,89;-3,03;-7,88;-3,60;1,09
-1;Japanese Government Debt Benchmark - Zero Coupon 3M;0,07600000;1,33;1,33;-23,23;-36,67;-83,83;0,12
-1;Japanese Government Debt Benchmark - Zero Coupon 12M;0,08300000;3,75;-12,63;-13,54;-44,30;-84,63;0,10
-1;Japanese Government Debt Benchmark - Zero Coupon 24M;0,08900445;5,95;-12,75;-9,18;-52,67;-84,66;0,12
-1;Japanese Government Debt Benchmark - Zero Coupon 36M;0,12404940;6,90;-13,29;27,89;-51,40;-82,68;0,16
-1;Japanese Government Debt Benchmark - Zero Coupon 48M;0,17418567;8,76;-1,68;33,92;-51,86;-78,82;0,21
-1;Japanese Government Debt Benchmark - Zero Coupon 60M;0,21133910;7,67;2,96;31,95;-49,83;-76,87;0,25
-1;Japanese Government Debt Benchmark - Zero Coupon 84M;0,42584366;8,24;12,95;26,83;-40,61;-53,60;0,34
-1;Japanese Government Debt Benchmark - Zero Coupon 108M;0,61118937;5,08;6,98;6,25;-42,85;-52,42;0,34
-1;Japanese Government Debt Benchmark - Zero Coupon 120M;0,68763357;3,68;10,26;-2,61;-42,98;-51,50;0,34
-1;Japanese Government Debt Benchmark - Zero Coupon 180M;1,08125903;2,56;-0,43;-13,69;-39,20;-47,21;0,36
-1;Japanese Government Debt Benchmark - Zero Coupon 240M;1,62217973;2,07;0,96;-7,10;-24,93;-25,57;0,40
-1;Japanese Government Debt Benchmark - Zero Coupon 360M;1,80731465;2,08;2,82;-12,29;-23,06;-21,67;0,44
-1;US Government Debt Benchmark - Zero Coupon 1D;0,08822747;-3,33;22,54;-69,16;-42,77;190,04;0,54
-1;US Government Debt Benchmark - Zero Coupon 7D;0,11155769;-8,34;0,00;-62,09;-54,18;-63,35;0,37
-1;US Government Debt Benchmark - Zero Coupon 14D;0,12170084;0,00;9,09;-58,64;-50,01;-65,73;0,36
-1;US Government Debt Benchmark - Zero Coupon 1M;0,03708863;18,81;-27,85;-51,58;-71,31;33,29;0,24
-1;US Government Debt Benchmark - Zero Coupon 3M;0,06266006;6,43;23,02;-36,46;-57,38;139,37;0,16
-1;US Government Debt Benchmark - Zero Coupon 6M;0,09672310;0,20;13,09;-29,91;-47,89;-61,21;0,17
-1;US Government Debt Benchmark - Zero Coupon 12M;0,14427498;0,48;23,18;-18,40;-49,26;-74,70;0,29
-1;US Government Debt Benchmark - Zero Coupon 24M;0,31268814;0,39;4,27;28,16;-41,96;-67,46;0,52
-1;US Government Debt Benchmark - Zero Coupon 36M;0,65398066;2,57;11,18;101,22;-25,05;-47,77;0,69
-1;US Government Debt Benchmark - Zero Coupon 48M;1,18753353;0,57;11,28;136,64;-16,52;-24,07;0,83
-1;US Government Debt Benchmark - Zero Coupon 60M;1,51220118;0,11;11,30;147,57;-13,99;-13,93;0,93
-1;US Government Debt Benchmark - Zero Coupon 84M;2,28223132;-0,50;10,55;122,31;-11,15;-4,49;1,03
-1;US Government Debt Benchmark - Zero Coupon 108M;2,80798922;-0,62;7,87;88,98;-9,20;2,42;1,02
-1;US Government Debt Benchmark - Zero Coupon 120M;2,99334188;-0,65;6,97;81,42;-8,73;4,57;1,03
-1;US Government Debt Benchmark - Zero Coupon 180M;3,61219155;-0,70;4,37;54,84;-11,14;17,23;1,03
-1;US Government Debt Benchmark - Zero Coupon 240M;3,92232352;-0,73;3,41;46,61;-12,03;22,93;1,04
-1;US Government Debt Benchmark - Zero Coupon 360M;4,23292786;-0,74;2,61;40,25;-12,78;28,26;1,07
